StateCode,StateName,TotalLoans,AvgIncome
AK,AK,1174,79682.0
AL,AL,6263,70162.0
AR,AR,3738,66841.0
AZ,AZ,11544,73037.0
CA,CA,68538,83070.0
CO,CO,10892,76581.0
CT,CT,7592,87894.0
DC,DC,1147,91514.0
DE,DE,1454,76050.0
FL,FL,35103,72766.0
GA,GA,16708,76352.0
HI,HI,2406,72660.0
ID,ID,278,66754.0
IL,IL,19929,78920.0
IN,IN,8707,68860.0
KS,KS,4346,70890.0
KY,KY,4857,68096.0
LA,LA,5948,75418.0
MA,MA,11297,82237.0
MD,MD,11970,84759.0
ME,ME,770,65055.0
MI,MI,13455,71040.0
MN,MN,9164,72061.0
MO,MO,7955,69970.0
MS,MS,3108,68422.0
MT,MT,1400,64205.0
NC,NC,14277,73546.0
ND,ND,654,72443.0
NE,NE,1556,63841.0
NH,NH,2465,80105.0
NJ,NJ,18016,87741.0
NM,NM,2759,71402.0
NV,NV,7141,71661.0
NY,NY,40292,81029.0
OH,OH,16970,68447.0
OK,OK,4685,72686.0
OR,OR,5925,67281.0
PA,PA,17442,73888.0
RI,RI,2170,73563.0
SC,SC,6136,73801.0
SD,SD,1003,65757.0
TN,TN,8263,69671.0
TX,TX,41158,82494.0
UT,UT,3344,72518.0
VA,VA,14055,84282.0
VT,VT,1092,66175.0
WA,WA,10602,75944.0
WI,WI,6700,67839.0
WV,WV,2461,69679.0
WY,WY,1091,79462.0
