id,loan_amnt,funded_amnt,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,title,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,is_default,is_fully_paid,income_category,loan_to_income_ratio,credit_age_years,credit_age_category,risk_category,issue_year,issue_month,issue_quarter,issue_season,int_rate_category
68407277,3600.0,, 36 months,13.99,123.03,C,C4,LEADMAN,10+ years,MORTGAGE,55000.0,Not Verified,2015-12-01,Fully Paid,debt_consolidation,Debt consolidation,PA,5.91,0.0,2003-08-01,,7.0,0.0,2765.0,29.7,13.0,w,0.0,0.0,4421.723916800001,4421.72,3600.0,821.72,2019-01-01,,,2019-03-01,0,0,Faible,0.0654545454545454,12.334017796030116,10-20 ans,Risque moyen,2015,12,4,Hiver,10-15%
68355089,24700.0,, 36 months,11.99,820.28,C,C1,ENGINEER,10+ years,MORTGAGE,65000.0,Not Verified,2015-12-01,Fully Paid,small_business,Business,SD,16.06,1.0,1999-12-01,,22.0,0.0,21470.0,19.2,38.0,w,0.0,0.0,25679.66,25679.66,24700.0,979.66,2016-06-01,,,2019-03-01,0,0,Moyen,0.38,16.0,10-20 ans,Risque moyen,2015,12,4,Hiver,10-15%
68341763,20000.0,, 60 months,10.78,432.66,B,B4,TRUCK DRIVER,10+ years,MORTGAGE,63000.0,Not Verified,2015-12-01,Fully Paid,home_improvement,Debt consolidation,IL,10.78,0.0,2000-08-01,,6.0,0.0,7869.0,56.2,18.0,w,0.0,0.0,22705.9242938784,22705.92,20000.0,2705.92,2017-06-01,,,2019-03-01,0,0,Moyen,0.3174603174603174,15.331964407939768,10-20 ans,Risque modéré,2015,12,4,Hiver,10-15%
66310712,35000.0,, 60 months,14.85,829.9,C,C5,INFORMATION SYSTEMS OFFICER,10+ years,MORTGAGE,110000.0,Source Verified,2015-12-01,Current,debt_consolidation,Debt consolidation,NJ,17.06,0.0,2008-09-01,,13.0,0.0,7802.0,11.6,17.0,w,15897.65,15897.65,31464.01,31464.01,19102.35,12361.66,2019-02-01,,2019-04-01,2019-03-01,0,0,Élevé,0.3181818181818182,7.247091033538672,5-10 ans,Risque moyen,2015,12,4,Hiver,10-15%
68476807,10400.0,, 60 months,22.45,289.91,F,F1,CONTRACT SPECIALIST,3 years,MORTGAGE,104433.0,Source Verified,2015-12-01,Fully Paid,major_purchase,Major purchase,PA,25.37,1.0,1998-06-01,,12.0,0.0,21929.0,64.5,35.0,w,0.0,0.0,11740.5,11740.5,10400.0,1340.5,2016-07-01,,,2018-03-01,0,0,Élevé,0.0995853801001599,17.50034223134839,10-20 ans,Risque extrême,2015,12,4,Hiver,20-30%
68426831,11950.0,, 36 months,13.44,405.18,C,C3,VETERINARY TECNICIAN,4 years,RENT,34000.0,Source Verified,2015-12-01,Fully Paid,debt_consolidation,Debt consolidation,GA,10.2,0.0,1987-10-01,,5.0,0.0,8822.0,68.4,6.0,w,0.0,0.0,13708.9485297572,13708.95,11950.0,1758.95,2017-05-01,,,2017-05-01,0,0,Faible,0.3514705882352941,28.16700889801506,20+ ans,Risque moyen,2015,12,4,Hiver,10-15%
68476668,20000.0,, 36 months,9.17,637.58,B,B2,VICE PRESIDENT OF RECRUITING OPERATIONS,10+ years,MORTGAGE,180000.0,Not Verified,2015-12-01,Fully Paid,debt_consolidation,Debt consolidation,MN,14.67,0.0,1990-06-01,,12.0,0.0,87329.0,84.5,27.0,f,0.0,0.0,21393.800000011,21393.8,20000.0,1393.8,2016-11-01,,,2019-03-01,0,0,Élevé,0.1111111111111111,25.50034223134839,20+ ans,Risque modéré,2015,12,4,Hiver,5-10%
67275481,20000.0,, 36 months,8.49,631.26,B,B1,ROAD DRIVER,10+ years,MORTGAGE,85000.0,Not Verified,2015-12-01,Fully Paid,major_purchase,Major purchase,SC,17.61,1.0,1999-02-01,,8.0,0.0,826.0,5.7,15.0,w,0.0,0.0,21538.508976797,21538.51,20000.0,1538.51,2017-01-01,,,2019-03-01,0,0,Moyen,0.2352941176470588,16.829568788501028,10-20 ans,Risque modéré,2015,12,4,Hiver,5-10%
68466926,10000.0,, 36 months,6.49,306.45,A,A2,SERVICE MANAGER,6 years,RENT,85000.0,Not Verified,2015-12-01,Fully Paid,credit_card,Credit card refinancing,PA,13.07,0.0,2002-04-01,,14.0,1.0,10464.0,34.5,23.0,w,0.0,0.0,10998.9715749644,10998.97,10000.0,998.97,2018-08-01,,,2019-03-01,0,0,Moyen,0.1176470588235294,13.66735112936345,10-20 ans,Faible risque,2015,12,4,Hiver,5-10%
68616873,8000.0,, 36 months,11.48,263.74,B,B5,VENDOR LIAISON,10+ years,MORTGAGE,42000.0,Not Verified,2015-12-01,Fully Paid,credit_card,Credit card refinancing,RI,34.8,0.0,1994-11-01,,8.0,0.0,7034.0,39.1,18.0,w,0.0,0.0,8939.5805031401,8939.58,8000.0,939.58,2017-04-01,,,2018-11-01,0,0,Faible,0.1904761904761904,21.08145106091718,20+ ans,Risque modéré,2015,12,4,Hiver,10-15%
68356421,22400.0,, 60 months,12.88,508.3,C,C2,EXECUTIVE DIRECTOR,6 years,MORTGAGE,95000.0,Not Verified,2015-12-01,Current,debt_consolidation,Debt consolidation,SC,22.98,0.0,1995-04-01,,16.0,0.0,13028.0,32.7,35.0,w,9912.88,9912.88,19275.33,19275.33,12487.12,6788.21,2019-02-01,,2019-04-01,2019-03-01,0,0,Moyen,0.2357894736842105,20.66803559206023,20+ ans,Risque moyen,2015,12,4,Hiver,10-15%
68426545,16000.0,, 60 months,12.88,363.07,C,C2,SENIOR STRUCTURAL DESIGNER,1 year,MORTGAGE,70000.0,Not Verified,2015-12-01,Current,debt_consolidation,Debt consolidation,TX,26.4,0.0,1988-02-01,,13.0,0.0,28705.0,56.3,29.0,w,7080.7,7080.7,13768.04,13768.04,8919.3,4848.74,2019-02-01,,2019-04-01,2019-03-01,0,0,Moyen,0.2285714285714285,27.83025325119781,20+ ans,Risque moyen,2015,12,4,Hiver,10-15%
68338832,1400.0,, 36 months,12.88,47.1,C,C2,LOGISTICS MANAGER,3 years,MORTGAGE,64000.0,Not Verified,2015-12-01,Fully Paid,other,Debt consolidation,NC,34.95,0.0,1996-06-01,,17.0,0.0,37828.0,67.2,24.0,w,0.0,0.0,1575.160697674,1575.16,1400.0,175.16,2017-03-01,,,2018-09-01,0,0,Moyen,0.021875,19.498973305954827,10-20 ans,Risque moyen,2015,12,4,Hiver,10-15%
66624733,18000.0,, 60 months,19.48,471.7,E,E2,SOFTWARE MANAGER,7 years,RENT,150000.0,Not Verified,2015-12-01,Charged Off,debt_consolidation,Debt consolidation,CA,9.39,0.0,2005-06-01,,18.0,1.0,14052.0,40.7,27.0,w,0.0,0.0,9452.74,9452.74,3481.86,4351.98,2017-05-01,,,2017-11-01,0,0,Élevé,0.12,10.499657768651607,10-20 ans,Risque très élevé,2015,12,4,Hiver,15-20%
68466961,28000.0,, 36 months,6.49,858.05,A,A2,SENIOR MANAGER,10+ years,MORTGAGE,92000.0,Not Verified,2015-12-01,Fully Paid,debt_consolidation,Debt consolidation,NC,21.6,0.0,1984-05-01,,16.0,0.0,51507.0,64.5,24.0,w,0.0,0.0,29939.017729337003,29939.02,28000.0,1939.02,2017-05-01,,,2019-03-01,0,0,Moyen,0.3043478260869565,31.58384668035592,20+ ans,Faible risque,2015,12,4,Hiver,5-10%
68354783,9600.0,, 36 months,7.49,298.58,A,A4,TECH,8 years,MORTGAGE,60000.0,Not Verified,2015-12-01,Fully Paid,credit_card,Credit card refinancing,SC,22.44,0.0,1996-06-01,,7.0,0.0,7722.0,59.4,9.0,w,0.0,0.0,10636.0984276928,10636.1,9600.0,1036.1,2018-02-01,,,2018-08-01,0,0,Faible,0.16,19.498973305954827,10-20 ans,Faible risque,2015,12,4,Hiver,5-10%
68466916,25000.0,, 36 months,7.49,777.55,A,A4,SALES MANAGER,10+ years,MORTGAGE,109000.0,Not Verified,2015-12-01,Fully Paid,debt_consolidation,Debt consolidation,VA,26.02,0.0,2001-12-01,,9.0,0.0,20862.0,54.3,19.0,w,0.0,0.0,26224.23,26224.23,25000.0,1224.23,2016-09-01,,,2017-04-01,0,0,Élevé,0.2293577981651376,13.998631074606434,10-20 ans,Faible risque,2015,12,4,Hiver,5-10%
68577849,18000.0,, 60 months,11.99,400.31,C,C1,GS-11,10+ years,MORTGAGE,112000.0,Not Verified,2015-12-01,Fully Paid,debt_consolidation,Debt consolidation,AZ,8.68,0.0,1993-11-01,,17.0,0.0,10711.0,15.5,27.0,w,0.0,0.0,18387.22,18387.22,18000.0,387.22,2016-03-01,,,2019-03-01,0,0,Élevé,0.1607142857142857,22.0807665982204,20+ ans,Risque moyen,2015,12,4,Hiver,10-15%
68506798,23000.0,, 60 months,8.49,471.77,B,B1,TEACHER,5 years,RENT,64000.0,Not Verified,2015-12-01,Current,credit_card,Credit card refinancing,NY,18.28,0.0,2001-09-01,,21.0,0.0,24940.0,52.7,33.0,w,9580.2,9580.2,17900.14,17900.14,13419.8,4480.34,2019-02-01,,2019-04-01,2019-03-01,0,0,Moyen,0.359375,14.247775496235455,10-20 ans,Risque modéré,2015,12,4,Hiver,5-10%
68495092,8650.0,, 36 months,19.89,320.99,E,E3,PROGRAM COORDINATOR,8 years,RENT,55000.0,Verified,2015-12-01,Fully Paid,debt_consolidation,Debt consolidation,IN,25.49,0.0,2005-03-01,,18.0,1.0,9568.0,46.0,19.0,w,0.0,0.0,9190.49,9190.49,8650.0,540.49,2016-05-01,,,2016-06-01,0,0,Faible,0.1572727272727273,10.75154004106776,10-20 ans,Risque très élevé,2015,12,4,Hiver,15-20%
68566886,29900.0,, 60 months,12.88,678.49,C,C2,CORPORATE INSURANCE,10+ years,MORTGAGE,65000.0,Verified,2015-12-01,Fully Paid,debt_consolidation,Debt consolidation,MD,21.77,0.0,2004-05-01,,15.0,0.0,31682.0,46.7,31.0,w,0.0,0.0,34033.2141762065,34033.21,29900.0,4133.21,2017-03-01,,,2018-01-01,0,0,Moyen,0.46,11.58384668035592,10-20 ans,Risque moyen,2015,12,4,Hiver,10-15%
68009401,16000.0,, 60 months,14.85,379.39,C,C5,BOOKKEEPER/ACCOUNTING,10+ years,MORTGAGE,48000.0,Not Verified,2015-12-01,Fully Paid,credit_card,Credit card refinancing,SC,33.18,0.0,1991-06-01,,11.0,2.0,19108.0,29.6,19.0,w,0.0,0.0,19498.0921090548,19498.09,16000.0,3498.09,2017-09-01,,,2017-09-01,0,0,Faible,0.3333333333333333,24.501026694045173,20+ ans,Risque moyen,2015,12,4,Hiver,10-15%
68476702,28000.0,, 36 months,13.44,949.38,C,C3,DIRECTOR OF PRODUCT DEVELOPMENT,2 years,OWN,125000.0,Source Verified,2015-12-01,Fully Paid,debt_consolidation,Debt consolidation,NY,7.49,0.0,2000-05-01,,6.0,0.0,22780.0,63.1,22.0,w,0.0,0.0,33320.393323799,33320.39,28000.0,5320.39,2017-12-01,,,2019-03-01,0,0,Élevé,0.224,15.58384668035592,10-20 ans,Risque moyen,2015,12,4,Hiver,10-15%
68436666,5000.0,, 36 months,13.44,169.54,C,C3,GENERAL MANAGER,2 years,RENT,79000.0,Verified,2015-12-01,Fully Paid,credit_card,Credit card refinancing,MD,12.7,0.0,2011-10-01,,3.0,0.0,9441.0,101.5,5.0,w,0.0,0.0,6117.4531971568,6117.45,5000.0,1117.45,2019-01-01,,,2019-03-01,0,0,Moyen,0.0632911392405063,4.167008898015058,2-5 ans,Risque moyen,2015,12,4,Hiver,10-15%
68476715,6000.0,, 36 months,7.49,186.61,A,A4,ANALYST,10+ years,MORTGAGE,100000.0,Not Verified,2015-12-01,Fully Paid,debt_consolidation,Debt consolidation,TX,13.28,1.0,1994-05-01,,9.0,0.0,8563.0,72.0,16.0,w,0.0,0.0,6711.710106701999,6711.71,6000.0,711.71,2019-01-01,,,2019-03-01,0,0,Moyen,0.06,21.58521560574949,20+ ans,Faible risque,2015,12,4,Hiver,5-10%
67849662,4225.0,, 36 months,14.85,146.16,C,C5,MECHANIC,5 years,RENT,35000.0,Source Verified,2015-12-01,Charged Off,debt_consolidation,Debt consolidation,KS,15.22,2.0,2011-07-01,,6.0,0.0,1058.0,24.6,6.0,w,0.0,0.0,2558.87,2558.87,1536.9,653.6,2017-04-01,,,2017-12-01,0,0,Faible,0.1207142857142857,4.418891170431212,2-5 ans,Risque moyen,2015,12,4,Hiver,10-15%
68596180,20000.0,, 36 months,5.32,602.3,A,A1,DRIVER,9 years,OWN,65000.0,Not Verified,2015-12-01,Fully Paid,debt_consolidation,Debt consolidation,NY,18.83,0.0,1991-05-01,,12.0,0.0,2269.0,3.0,17.0,w,0.0,0.0,21631.7243289042,21631.72,20000.0,1631.72,2018-08-01,,,2018-08-01,0,0,Moyen,0.3076923076923077,24.58590006844627,20+ ans,Faible risque,2015,12,4,Hiver,5-10%
